Date,Year,Month,Daytype,Weekday,WeekdayNum,Day,Hour,Mississippi Critical,Suwanee Critical,Flightline Critical,Hospital Critical,Combined Critical
10/1/17,2017,October,Sunday,Sunday,7,1,0,"1,732",690,"1,057",477,3956
10/1/17,2017,October,Sunday,Sunday,7,1,1,"1,715",711,"1,024",470,3921
10/1/17,2017,October,Sunday,Sunday,7,1,2,"1,660",695,"1,023",455,3834
10/1/17,2017,October,Sunday,Sunday,7,1,3,"1,626",662,"1,010",453,3752
10/1/17,2017,October,Sunday,Sunday,7,1,4,"1,660",655,997,451,3762
10/1/17,2017,October,Sunday,Sunday,7,1,5,"1,685",674,"1,017",446,3822
10/1/17,2017,October,Sunday,Sunday,7,1,6,"1,639",657,978,443,3716
10/1/17,2017,October,Sunday,Sunday,7,1,7,"1,592",596,938,429,3556
10/1/17,2017,October,Sunday,Sunday,7,1,8,"1,844",617,954,662,4078
10/1/17,2017,October,Sunday,Sunday,7,1,9,"1,950",626,964,708,4248
10/1/17,2017,October,Sunday,Sunday,7,1,10,"2,030",657,991,734,4412
10/1/17,2017,October,Sunday,Sunday,7,1,11,"2,078",638,981,720,4416
10/1/17,2017,October,Sunday,Sunday,7,1,12,"2,031",625,956,700,4312
10/1/17,2017,October,Sunday,Sunday,7,1,13,"1,990",608,957,689,4243
10/1/17,2017,October,Sunday,Sunday,7,1,14,"1,913",628,964,657,4161
10/1/17,2017,October,Sunday,Sunday,7,1,15,"1,956",607,932,597,4093
10/1/17,2017,October,Sunday,Sunday,7,1,16,"1,947",603,926,701,4178
10/1/17,2017,October,Sunday,Sunday,7,1,17,"1,919",610,924,680,4133
10/1/17,2017,October,Sunday,Sunday,7,1,18,"1,705",645,990,469,3808
10/1/17,2017,October,Sunday,Sunday,7,1,19,"1,677",661,"1,015",463,3816
10/1/17,2017,October,Sunday,Sunday,7,1,20,"1,605",653,"1,007",465,3730
10/1/17,2017,October,Sunday,Sunday,7,1,21,"1,590",645,"1,015",449,3698
10/1/17,2017,October,Sunday,Sunday,7,1,22,"1,548",622,"1,020",448,3638
10/1/17,2017,October,Sunday,Sunday,7,1,23,"1,528",642,"1,023",427,3619
10/2/17,2017,October,Weekday,Monday,1,2,0,"1,540",633,"1,031",449,3654
10/2/17,2017,October,Weekday,Monday,1,2,1,"1,548",629,"1,027",431,3635
10/2/17,2017,October,Weekday,Monday,1,2,2,"1,550",655,"1,041",442,3689
10/2/17,2017,October,Weekday,Monday,1,2,3,"1,542",661,"1,082",445,3731
10/2/17,2017,October,Weekday,Monday,1,2,4,"1,661",660,"1,079",452,3851
10/2/17,2017,October,Weekday,Monday,1,2,5,"1,901",704,"1,220",488,4314
10/2/17,2017,October,Weekday,Monday,1,2,6,"1,958",710,"1,291",507,4465
10/2/17,2017,October,Weekday,Monday,1,2,7,"2,048",746,"1,370",532,4695
10/2/17,2017,October,Weekday,Monday,1,2,8,"3,092",741,"1,457","1,158",6447
10/2/17,2017,October,Weekday,Monday,1,2,9,"3,149",836,"1,505","1,172",6663
10/2/17,2017,October,Weekday,Monday,1,2,10,"3,285",851,"1,545","1,195",6876
10/2/17,2017,October,Weekday,Monday,1,2,11,"3,331",872,"1,583","1,212",6998
10/2/17,2017,October,Weekday,Monday,1,2,12,"3,430",843,"1,633","1,234",7140
10/2/17,2017,October,Weekday,Monday,1,2,13,"3,398",884,"1,743","1,244",7269
10/2/17,2017,October,Weekday,Monday,1,2,14,"3,296",884,"1,730","1,257",7167
10/2/17,2017,October,Weekday,Monday,1,2,15,"3,270",872,"1,648","1,238",7029
10/2/17,2017,October,Weekday,Monday,1,2,16,"3,144",816,"1,631","1,172",6762
10/2/17,2017,October,Weekday,Monday,1,2,17,"2,897",728,"1,636","1,104",6365
10/2/17,2017,October,Weekday,Monday,1,2,18,"1,977",748,"1,716",544,4985
10/2/17,2017,October,Weekday,Monday,1,2,19,"1,890",761,"1,728",524,4904
10/2/17,2017,October,Weekday,Monday,1,2,20,"1,834",743,"1,614",480,4672
10/2/17,2017,October,Weekday,Monday,1,2,21,"1,773",729,"1,491",447,4439
10/2/17,2017,October,Weekday,Monday,1,2,22,"1,750",694,"1,442",435,4321
10/2/17,2017,October,Weekday,Monday,1,2,23,"1,663",648,"1,380",426,4118
10/3/17,2017,October,Weekday,Tuesday,2,3,0,"1,637",638,"1,332",421,4027
