Date,Hour,kW Sum
10/1/17,0,8596
10/1/17,1,8509
10/1/17,2,8300
10/1/17,3,8137
10/1/17,4,8186
10/1/17,5,8299
10/1/17,6,8079
10/1/17,7,7768
10/1/17,8,7914
10/1/17,9,8271
10/1/17,10,8590
10/1/17,11,8628
10/1/17,12,8424
10/1/17,13,8286
10/1/17,14,8091
10/1/17,15,7995
10/1/17,16,8155
10/1/17,17,8057
10/1/17,18,8327
10/1/17,19,8303
10/1/17,20,8098
10/1/17,21,8012
10/1/17,22,7880
10/1/17,23,7800
10/2/17,0,7896
10/2/17,1,7851
10/2/17,2,7950
10/2/17,3,8016
10/2/17,4,8335
10/2/17,5,9362
10/2/17,6,9687
10/2/17,7,10176
10/2/17,8,10750
10/2/17,9,11091
10/2/17,10,11459
10/2/17,11,11660
10/2/17,12,11913
10/2/17,13,12111
10/2/17,14,11922
10/2/17,15,11695
10/2/17,16,11263
10/2/17,17,10601
10/2/17,18,10609
10/2/17,19,10366
10/2/17,20,9879
10/2/17,21,9399
10/2/17,22,9175
10/2/17,23,8757
10/3/17,0,8578
10/3/17,1,8512
10/3/17,2,8414
10/3/17,3,8619
10/3/17,4,9044
10/3/17,5,9854
10/3/17,6,10181
10/3/17,7,10541
10/3/17,8,11483
10/3/17,9,12090
10/3/17,10,12523
10/3/17,11,12539
10/3/17,12,13014
10/3/17,13,13264
10/3/17,14,13242
10/3/17,15,12976
10/3/17,16,12355
10/3/17,17,11248
10/3/17,18,10845
10/3/17,19,10457
10/3/17,20,9954
10/3/17,21,9499
10/3/17,22,9080
10/3/17,23,8644
10/4/17,0,8488
10/4/17,1,8475
10/4/17,2,8370
10/4/17,3,8352
10/4/17,4,8759
10/4/17,5,9610
10/4/17,6,9815
10/4/17,7,10048
10/4/17,8,10692
10/4/17,9,11686
10/4/17,10,12199
10/4/17,11,12444
10/4/17,12,12438
10/4/17,13,12566
10/4/17,14,12594
10/4/17,15,12413
10/4/17,16,11759
10/4/17,17,10922
10/4/17,18,10520
10/4/17,19,9967
10/4/17,20,9673
10/4/17,21,9419
10/4/17,22,8986
10/4/17,23,8724
10/5/17,0,8535
10/5/17,1,8461
10/5/17,2,8457
10/5/17,3,8616
10/5/17,4,8781
10/5/17,5,9603
10/5/17,6,9750
10/5/17,7,10231
10/5/17,8,11037
10/5/17,9,11689
10/5/17,10,12227
10/5/17,11,12585
10/5/17,12,12900
10/5/17,13,13219
10/5/17,14,13237
10/5/17,15,12832
10/5/17,16,12110
10/5/17,17,11276
10/5/17,18,10784
10/5/17,19,10461
10/5/17,20,10241
10/5/17,21,9770
10/5/17,22,9409
10/5/17,23,9012
10/6/17,0,8931
10/6/17,1,8840
10/6/17,2,8808
10/6/17,3,8826
10/6/17,4,9320
10/6/17,5,10005
10/6/17,6,10169
10/6/17,7,10693
10/6/17,8,11522
10/6/17,9,12132
10/6/17,10,12474
10/6/17,11,12750
10/6/17,12,12780
10/6/17,13,12679
10/6/17,14,12546
10/6/17,15,12265
10/6/17,16,11534
10/6/17,17,10784
10/6/17,18,10532
10/6/17,19,9886
10/6/17,20,9411
10/6/17,21,9020
10/6/17,22,8767
10/6/17,23,8495
10/7/17,0,8474
10/7/17,1,8377
10/7/17,2,8357
10/7/17,3,8370
10/7/17,4,8545
10/7/17,5,8817
10/7/17,6,8834
10/7/17,7,8645
10/7/17,8,8932
10/7/17,9,9394
10/7/17,10,9764
10/7/17,11,10190
10/7/17,12,10326
10/7/17,13,10152
10/7/17,14,9943
10/7/17,15,9927
10/7/17,16,9793
10/7/17,17,9682
10/7/17,18,9986
10/7/17,19,9812
10/7/17,20,9714
10/7/17,21,9619
10/7/17,22,9420
10/7/17,23,9202
10/8/17,0,9074
10/8/17,1,9121
10/8/17,2,9198
10/8/17,3,9142
10/8/17,4,9409
10/8/17,5,9591
10/8/17,6,9839
10/8/17,7,9402
10/8/17,8,9296
10/8/17,9,9324
10/8/17,10,9586
10/8/17,11,9839
10/8/17,12,9919
10/8/17,13,9902
10/8/17,14,9850
10/8/17,15,9876
10/8/17,16,9754
10/8/17,17,9540
10/8/17,18,9650
10/8/17,19,9543
10/8/17,20,9440
10/8/17,21,9301
10/8/17,22,9217
10/8/17,23,9113
10/9/17,0,9104
10/9/17,1,9003
10/9/17,2,9029
10/9/17,3,9005
10/9/17,4,9173
10/9/17,5,9196
10/9/17,6,8948
10/9/17,7,8534
10/9/17,8,8944
10/9/17,9,9244
10/9/17,10,9733
10/9/17,11,10033
10/9/17,12,10152
10/9/17,13,10347
10/9/17,14,10342
10/9/17,15,10313
10/9/17,16,10225
10/9/17,17,9937
10/9/17,18,9923
10/9/17,19,9810
10/9/17,20,9489
10/9/17,21,9287
10/9/17,22,9182
10/9/17,23,9032
10/10/17,0,8885
10/10/17,1,8773
10/10/17,2,8832
10/10/17,3,8865
10/10/17,4,9598
10/10/17,5,10649
10/10/17,6,11510
10/10/17,7,12190
10/10/17,8,12834
10/10/17,9,13314
10/10/17,10,13630
10/10/17,11,13978
10/10/17,12,14262
10/10/17,13,14482
