Meter ID     , Date / Time          , KW(ch: 1  set:0)   , KVAR(ch: 2  set:0) , KVA(0(ch: 2  set:0), PF(0(ch: 3  set:0) ,
8B249620     , 1/1/19 00:15         ,6429.6,1137.6,6529.46,0.98,
8B249620     , 1/1/19 00:30         ,6328.8,1094.4,6422.73,0.99,
8B249620     , 1/1/19 00:45         ,6357.6,1101.6,6452.33,0.99,
8B249620     , 1/1/19 01:00         ,6256.8,1101.6,6353.04,0.98,
8B249620     , 1/1/19 01:15         ,6199.2,1080,6292.57,0.99,
8B249620     , 1/1/19 01:30         ,6091.2,1072.8,6184.95,0.98,
8B249620     , 1/1/19 01:45         ,6026.4,1065.6,6119.89,0.98,
8B249620     , 1/1/19 02:00         ,5990.4,1058.4,6083.18,0.98,
8B249620     , 1/1/19 02:15         ,5976,1116,6079.31,0.98,
8B249620     , 1/1/19 02:30         ,5724,986.4,5808.37,0.99,
8B249620     , 1/1/19 02:45         ,5673.6,972,5756.26,0.99,
8B249620     , 1/1/19 03:00         ,5702.4,972,5784.65,0.99,
8B249620     , 1/1/19 03:15         ,5760,964.8,5840.24,0.99,
8B249620     , 1/1/19 03:30         ,5839.2,979.2,5920.73,0.99,
8B249620     , 1/1/19 03:45         ,6012,993.6,6093.55,0.99,
8B249620     , 1/1/19 04:00         ,6177.6,1036.8,6264,0.99,
8B249620     , 1/1/19 04:15         ,6436.8,1080,6526.78,0.99,
8B249620     , 1/1/19 04:30         ,5803.2,1058.4,5898.93,0.98,
8B249620     , 1/1/19 04:45         ,5544,1029.6,5638.8,0.98,
8B249620     , 1/1/19 05:00         ,5414.4,1008,5507.43,0.98,
8B249620     , 1/1/19 05:15         ,5616,1044,5712.21,0.98,
8B249620     , 1/1/19 05:30         ,5522.4,1029.6,5617.56,0.98,
8B249620     , 1/1/19 05:45         ,5472,1022.4,5566.69,0.98,
8B249620     , 1/1/19 06:00         ,5400,964.8,5485.51,0.98,
8B249620     , 1/1/19 06:15         ,5385.6,950.4,5468.82,0.98,
8B249620     , 1/1/19 06:30         ,5385.6,950.4,5468.82,0.98,
8B249620     , 1/1/19 06:45         ,5400,943.2,5481.75,0.99,
8B249620     , 1/1/19 07:00         ,5464.8,972,5550.57,0.98,
8B249620     , 1/1/19 07:15         ,5414.4,943.2,5495.94,0.99,
8B249620     , 1/1/19 07:30         ,5320.8,756,5374.24,0.99,
8B249620     , 1/1/19 07:45         ,5284.8,784.8,5342.75,0.99,
8B249620     , 1/1/19 08:00         ,5306.4,806.4,5367.32,0.99,
8B249620     , 1/1/19 08:15         ,5457.6,734.4,5506.79,0.99,
8B249620     , 1/1/19 08:30         ,5076,777.6,5135.22,0.99,
8B249620     , 1/1/19 08:45         ,5083.2,835.2,5151.36,0.99,
8B249620     , 1/1/19 09:00         ,5335.2,856.8,5403.56,0.99,
8B249620     , 1/1/19 09:15         ,5256,842.4,5323.08,0.99,
8B249620     , 1/1/19 09:30         ,5529.6,864,5596.69,0.99,
8B249620     , 1/1/19 09:45         ,5472,957.6,5555.16,0.99,
8B249620     , 1/1/19 10:00         ,5349.6,972,5437.19,0.98,
8B249620     , 1/1/19 10:15         ,5580,1000.8,5669.04,0.98,
8B249620     , 1/1/19 10:30         ,5400,1044,5499.99,0.98,
8B249620     , 1/1/19 10:45         ,5119.2,1245.6,5268.56,0.97,
8B249620     , 1/1/19 11:00         ,4917.6,1382.4,5108.21,0.96,
8B249620     , 1/1/19 11:15         ,5169.6,1411.2,5358.75,0.96,
8B249620     , 1/1/19 11:30         ,5428.8,1447.2,5618.39,0.97,
8B249620     , 1/1/19 11:45         ,5752.8,1461.6,5935.57,0.97,
8B249620     , 1/1/19 12:00         ,5774.4,1504.8,5967.25,0.97,
8B249620     , 1/1/19 12:15         ,6105.6,1483.2,6283.17,0.97,
8B249620     , 1/1/19 12:30         ,6537.6,1389.6,6683.65,0.98,
8B249620     , 1/1/19 12:45         ,6156,1490.4,6333.85,0.97,
8B249620     , 1/1/19 13:00         ,6674.4,1440,6827.97,0.98,
8B249620     , 1/1/19 13:15         ,6069.6,1591.2,6274.71,0.97,
8B249620     , 1/1/19 13:30         ,5608.8,1692,5858.46,0.96,
8B249620     , 1/1/19 13:45         ,5414.4,1699.2,5674.77,0.95,
8B249620     , 1/1/19 14:00         ,5608.8,1684.8,5856.38,0.96,
8B249620     , 1/1/19 14:15         ,5443.2,1749.6,5717.48,0.95,
8B249620     , 1/1/19 14:30         ,5788.8,1720.8,6039.15,0.96,
8B249620     , 1/1/19 14:45         ,5932.8,1728,6179.33,0.96,
8B249620     , 1/1/19 15:00         ,6112.8,1720.8,6350.39,0.96,
8B249620     , 1/1/19 15:15         ,7056,1677.6,7252.69,0.97,
8B249620     , 1/1/19 15:30         ,6904.8,1692,7109.09,0.97,
8B249620     , 1/1/19 15:45         ,7113.6,1800,7337.8,0.97,
8B249620     , 1/1/19 16:00         ,7711.2,1735.2,7904.02,0.98,
8B249620     , 1/1/19 16:15         ,8085.6,1720.8,8266.68,0.98,
8B249620     , 1/1/19 16:30         ,8172,1591.2,8325.47,0.98,
8B249620     , 1/1/19 16:45         ,8366.4,1512,8501.93,0.98,
8B249620     , 1/1/19 17:00         ,8424,1476,8552.33,0.98,
8B249620     , 1/1/19 17:15         ,8776.8,1476,8900.04,0.99,
8B249620     , 1/1/19 17:30         ,8949.6,1411.2,9060.18,0.99,
8B249620     , 1/1/19 17:45         ,9129.6,1468.8,9247,0.99,
8B249620     , 1/1/19 18:00         ,9316.8,1483.2,9434.12,0.99,
8B249620     , 1/1/19 18:15         ,9352.8,1627.2,9493.29,0.99,
8B249620     , 1/1/19 18:30         ,9619.2,1656,9760.7,0.99,
8B249620     , 1/1/19 18:45         ,9648,1648.8,9787.87,0.99,
8B249620     , 1/1/19 19:00         ,9475.2,1620,9612.69,0.99,
8B249620     , 1/1/19 19:15         ,9482.4,1620,9619.79,0.99,
8B249620     , 1/1/19 19:30         ,9468,1605.6,9603.18,0.99,
8B249620     , 1/1/19 19:45         ,9475.2,1612.8,9611.48,0.99,
8B249620     , 1/1/19 20:00         ,9345.6,1591.2,9480.09,0.99,
8B249620     , 1/1/19 20:15         ,9108,1483.2,9227.98,0.99,
8B249620     , 1/1/19 20:30         ,8935.2,1447.2,9051.64,0.99,
8B249620     , 1/1/19 20:45         ,8791.2,1418.4,8904.89,0.99,
8B249620     , 1/1/19 21:00         ,8575.2,1425.6,8692.89,0.99,
8B249620     , 1/1/19 21:15         ,8460,1411.2,8576.89,0.99,
8B249620     , 1/1/19 21:30         ,8359.2,1483.2,8489.76,0.98,
8B249620     , 1/1/19 21:45         ,8164.8,1483.2,8298.42,0.98,
8B249620     , 1/1/19 22:00         ,7984.8,1468.8,8118.77,0.98,
8B249620     , 1/1/19 22:15         ,7797.6,1483.2,7937.41,0.98,
8B249620     , 1/1/19 22:30         ,7423.2,1353.6,7545.6,0.98,
8B249620     , 1/1/19 22:45         ,7279.2,1332,7400.07,0.98,
8B249620     , 1/1/19 23:00         ,7005.6,1288.8,7123.16,0.98,
8B249620     , 1/1/19 23:15         ,6861.6,1267.2,6977.63,0.98,
